Model,R@1km,R@5km,R@10km,R@20km,R@100km,R@200km,R@750km
gpt-4-turbo,60.000,69.000,69.000,70.000,71.000,75.000,78.000
gpt-4o-mini,46.000,58.000,60.000,61.000,66.000,67.000,73.000
gpt-4o,57.000,67.000,67.000,70.000,73.000,74.000,77.000
gpt-o3,37.000,43.000,45.000,46.000,46.000,47.000,47.000
gpt-o4-mini,24.000,32.000,32.000,32.000,34.000,34.000,37.000
gemini-1.5-flash-8b,22.000,45.000,48.000,51.000,57.000,60.000,67.000
gemini-1.5-flash,36.000,54.000,55.000,57.000,64.000,65.000,74.000
gemini-1.5-pro,50.000,64.000,64.000,66.000,70.000,74.000,76.000
gemini-2.0-flash,42.000,53.000,57.000,60.000,60.000,62.000,66.000
gemini-2.0-flash-lite,46.000,60.000,62.000,66.000,71.000,73.000,77.000
phi-4-multimodal-instruct,0.000,0.000,0.000,0.000,0.000,0.000,0.000
claude-3-5-sonnet-latest,56.000,66.000,67.000,67.000,69.000,72.000,75.000
claude-3-7-sonnet-latest,60.000,67.000,68.000,68.000,70.000,71.000,75.000
idefics-9b-instruct,0.000,1.000,1.000,1.000,1.000,1.000,9.000
idefics-80b-instruct,0.000,1.000,1.000,1.000,1.000,1.000,1.000
paligemma-3b-mix-224,0.000,0.000,0.000,0.000,0.000,0.000,0.000
qwen-2.5-vl-7b-instruct,9.000,31.000,41.000,46.000,57.000,62.000,68.000
qwen-2.5-vl-32b-instruct,31.000,48.000,52.000,55.000,64.000,65.000,69.000
gpt-4.1,61.000,69.000,69.000,71.000,73.000,76.000,79.000
gpt-4.1-mini,52.000,64.000,64.000,65.000,70.000,72.000,78.000
gpt-4.1-nano,30.000,42.000,42.000,42.000,46.000,49.000,59.000
