Model,R@1km,R@5km,R@10km,R@20km,R@100km,R@200km,R@750km
gpt-4-turbo,16.109,31.206,35.866,38.703,45.086,49.139,62.513
gpt-4o-mini,12.279,25.759,30.330,33.500,39.907,45.345,59.293
gpt-4o,16.316,31.265,35.702,39.173,46.280,50.817,62.896
gpt-o3,11.812,22.356,25.726,27.995,32.099,35.068,43.977
gpt-o4-mini,7.875,15.082,17.317,18.819,21.955,23.690,29.530
gemini-1.5-flash-8b,6.573,21.288,25.459,29.263,38.639,46.547,64.097
gemini-1.5-flash,10.911,26.827,32.099,37.037,45.646,52.352,70.571
gemini-1.5-pro,14.848,30.430,35.435,39.173,47.481,54.087,71.171
gemini-2.0-flash,10.043,23.490,27.160,29.296,33.634,38.172,48.715
gemini-2.0-flash-lite,12.546,27.961,32.766,36.136,43.510,50.050,64.131
phi-4-multimodal-instruct,0.000,0.000,0.000,0.000,0.000,0.000,0.000
claude-3-5-sonnet-latest,12.813,24.525,27.995,30.497,36.170,40.207,54.188
claude-3-7-sonnet-latest,12.479,24.324,27.694,30.130,35.402,39.573,54.021
llama-4-scout-17b-16e-instruct,0.252,1.511,1.511,1.763,1.763,1.763,7.557
idefics-9b-instruct,0.267,1.668,2.102,2.402,2.569,3.470,6.874
idefics-80b-instruct,0.077,0.077,0.077,0.077,0.077,0.154,0.385
gpt-4.1,19.052,35.169,40.440,44.144,52.119,58.058,72.973
gpt-4.1-mini,12.145,25.459,29.396,32.399,39.439,44.711,59.193
gpt-4.1-nano,4.738,12.513,14.548,15.916,19.086,21.955,35.769
